Original_Value,Encoded_Value
A Badoni,0
AD Russell,1
AK Markram,2
AM Rahane,3
AR Patel,4
AT Rayudu,5
Abdul Samad,6
Abhishek Sharma,7
Abishek Porel,8
B Sai Sudharsan,9
C Green,10
D Padikkal,11
DA Miller,12
DA Warner,13
DJ Hooda,14
DP Conway,15
Dhruv Jurel,16
F du Plessis,17
GJ Maxwell,18
H Klaasen,19
HH Pandya,20
Ishan Kishan,21
JC Buttler,22
JM Bairstow,23
JM Sharma,24
JP Inglis,25
KA Pollard,26
KD Karthik,27
KH Pandya,28
KL Rahul,29
KR Mayers,30
KS Williamson,31
LS Livingstone,32
M Jansen,33
M Shahrukh Khan,34
MA Agarwal,35
MK Pandey,36
MM Ali,37
MP Stoinis,38
MR Marsh,39
MS Dhoni,40
N Pooran,41
N Rana,42
N Wadhera,43
Nithish Kumar Reddy,44
P Simran Singh,45
PD Salt,46
PJ Cummins,47
PP Shaw,48
Priyansh Arya,49
Q de Kock,50
R Ashwin,51
R Parag,52
R Ravindra,53
R Tewatia,54
RA Jadeja,55
RA Tripathi,56
RD Gaikwad,57
RG Sharma,58
RK Singh,59
RM Patidar,60
RR Pant,61
RV Uthappa,62
Rahmanullah Gurbaz,63
S Dhawan,64
S Dube,65
SA Yadav,66
SM Curran,67
SO Hetmyer,68
SP Narine,69
SS Iyer,70
SV Samson,71
Shashank Singh,72
Shubman Gill,73
T Stubbs,74
TH David,75
TM Head,76
Tilak Varma,77
V Kohli,78
V Shankar,79
VR Iyer,80
WG Jacks,81
WP Saha,82
YBK Jaiswal,83
